"ID","DIVISION_NAME","LOCATION_DESCRIPTION","TYPE","long","lat","OBJECT","nn"
"TABL261","YARRALUMLA","MARINER PLACE - PEDESTRIAN PARKLAND","TIMBER",149.118587310352,-35.3003040782404,"Table",1
"TABL262","YARRALUMLA","MARINER PLACE - PEDESTRIAN PARKLAND","TIMBER",149.117798781498,-35.2986245449734,"Table",1
"TABL20","BELCONNEN","LAKE GINNINDERRA WESTERN FORESHORES","TIMBER",149.062812139056,-35.2272491269414,"Table",1
"TABL21","BELCONNEN","LAKE GINNINDERRA WESTERN FORESHORES","TIMBER",149.063997680419,-35.2265365951046,"Table",1
"TABL24","BELCONNEN","LAKE GINNINDERRA WESTERN FORESHORES","TIMBER",149.062778726417,-35.2248427532934,"Table",1
"TABL25","BELCONNEN","LAKE GINNINDERRA WESTERN FORESHORES","TIMBER",149.062865434702,-35.2246083853564,"Table",1
"TABL26","BELCONNEN","TOTTERDELL STREET PEDESTRIAN PARKLAND","TIMBER",149.060246939114,-35.2324775881533,"Table",1
"TABL263","YARRALUMLA","MARINER PLACE - PEDESTRIAN PARKLAND","TIMBER",149.11730170535,-35.2986198807667,"Table",1
"TABL267","YARRALUMLA","ALEXANDRINA DRIVE - PEDESTRIAN PARKLAND","CONCRETE",149.110799693331,-35.2985894573799,"Table",1
"TABL268","YARRALUMLA","ALEXANDRINA DRIVE - PEDESTRIAN PARKLAND","CONCRETE",149.110739583971,-35.2987337084075,"Table",1
"TABL269","YARRALUMLA","ALEXANDRINA DRIVE - PEDESTRIAN PARKLAND","CONCRETE",149.110432872544,-35.2986348268288,"Table",1
"TABL270","YARRALUMLA","ALEXANDRINA DRIVE - PEDESTRIAN PARKLAND","CONCRETE",149.110549278304,-35.2985355910071,"Table",1
"TABL271","YARRALUMLA","ALEXANDRINA DRIVE - PEDESTRIAN PARKLAND","TIMBER",149.109156902317,-35.2977796911783,"Table",1
"TABL272","YARRALUMLA","ALEXANDRINA DRIVE - PEDESTRIAN PARKLAND","TIMBER",149.109322784217,-35.2979327683185,"Table",1
"TABL273","YARRALUMLA","ALEXANDRINA DRIVE - PEDESTRIAN PARKLAND","TIMBER",149.109156222756,-35.2978878427824,"Table",1
"TABL274","YARRALUMLA","YARRALUMLA BAY DISTRICT PARK","TIMBER",149.103816751577,-35.2995234059487,"Table",1
"TABL275","YARRALUMLA","YARRALUMLA BAY DISTRICT PARK","TIMBER",149.103561688523,-35.2995236055551,"Table",1
"TABL277","YARRALUMLA","YARRALUMLA BAY DISTRICT PARK","TIMBER",149.102435542335,-35.2987223570984,"Table",1
"TABL278","YARRALUMLA","ALEXANDRINA DRIVE - ROAD VERGE","CONCRETE",149.09925612135,-35.2990311890937,"Table",1
"TABL36","EVATT","CARLILE STREET PEDESTRIAN PARKLAND","TIMBER",149.06712171612,-35.218009137143,"Table",1
"TABL39","FLOREY","TATTERSALL CRESCENT NEIGHBOURHOOD PARK","METAL",149.056945817501,-35.2236014338672,"Table",1
"TABL40","HALL","HALL PARK","TIMBER",149.069739230838,-35.1720969900369,"Table",1
"TABL41","HALL","HALL PARK","TIMBER",149.06998873304,-35.1714930101288,"Table",1
"TABL44","HALL","VICTORIA STREET ROAD VERGE","CONCRETE",149.063108425232,-35.1614109587309,"Table",1
"TABL283","YARRALUMLA","WESTON PARK","TIMBER",149.089022758356,-35.292891778996,"Table",1
"TABL284","YARRALUMLA","WESTON PARK","TIMBER",149.089113898635,-35.2923419508632,"Table",1
"TABL286","YARRALUMLA","WESTON PARK","TIMBER",149.088747862263,-35.2923872541569,"Table",1
"TABL288","YARRALUMLA","WESTON PARK","TIMBER",149.089395771479,-35.2918550850943,"Table",1
"TABL46","HAWKER","MURRANJI STREET NEIGHBOURHOOD PARK","TIMBER",149.032186263473,-35.2467712083569,"Table",1
"TABL47","HAWKER","MURRANJI STREET NEIGHBOURHOOD PARK","TIMBER",149.032111577576,-35.2467892473815,"Table",1
"TABL48","HAWKER","MURRANJI STREET NEIGHBOURHOOD PARK","TIMBER",149.031473255318,-35.2467893654535,"Table",1
"TABL49","HAWKER","MURRANJI STREET NEIGHBOURHOOD PARK","TIMBER",149.031435830318,-35.2468254226124,"Table",1
"TABL52","LATHAM","UMBAGONG DISTRICT PARK","TIMBER",149.031092579439,-35.2116309485426,"Table",1
"TABL53","LATHAM","UMBAGONG DISTRICT PARK","TIMBER",149.031067520083,-35.2116309534912,"Table",1
"TABL291","YARRALUMLA","WESTON PARK","TIMBER",149.090413410255,-35.2920526843287,"Table",1
"TABL298","YARRALUMLA","WESTON PARK","TIMBER",149.091181967907,-35.2908174427255,"Table",1
"TABL299","YARRALUMLA","WESTON PARK","TIMBER",149.091232417305,-35.2907723452838,"Table",1
"TABL63","TURNER","HAIG PARK","TIMBER",149.128427468246,-35.2697420923573,"Table",1
"TABL306","YARRALUMLA","WESTON PARK","TIMBER",149.090207125273,-35.2925304900075,"Table",1
"TABL61","TURNER","HAIG PARK","TIMBER",149.128382722129,-35.2697150994007,"Table",1
"TABL62","TURNER","HAIG PARK","TIMBER",149.128393037775,-35.2697421267729,"Table",1
"TABL64","TURNER","HAIG PARK","TIMBER",149.12846102746,-35.2697150221063,"Table",1
"TABL65","TURNER","HAIG PARK","TIMBER",149.128788533363,-35.2691469040945,"Table",1
"TABL66","TURNER","HAIG PARK","TIMBER",149.128753555405,-35.2691108884458,"Table",1
"TABL67","TURNER","HAIG PARK","TIMBER",149.128712025615,-35.2691289543072,"Table",1
"TABL68","TURNER","HAIG PARK","TIMBER",149.126554994708,-35.2688877216822,"Table",1
"TABL69","TURNER","HAIG PARK","TIMBER",149.126516656925,-35.2688877593552,"Table",1
"TABL70","TURNER","HAIG PARK","TIMBER",149.126503923861,-35.2689148090504,"Table",1
"TABL307","YARRALUMLA","WESTON PARK","TIMBER",149.090271235765,-35.2924853839515,"Table",1
"TABL308","YARRALUMLA","WESTON PARK","CONCRETE",149.095093592573,-35.2956544931269,"Table",1
"TABL309","YARRALUMLA","WESTON PARK","TIMBER",149.095120971369,-35.2955823730054,"Table",1
"TABL310","YARRALUMLA","WESTON PARK","TIMBER",149.09525781077,-35.2956273392241,"Table",1
"TABL311","YARRALUMLA","WESTON PARK","CONCRETE",149.09526762412,-35.2957805455266,"Table",1
"TABL312","YARRALUMLA","WESTON PARK","TIMBER",149.094638967444,-35.2952762859895,"Table",1
"TABL313","YARRALUMLA","WESTON PARK","TIMBER",149.093046241484,-35.2936731583835,"Table",1
"TABL314","YARRALUMLA","WESTON PARK","TIMBER",149.093187981275,-35.2927267378947,"Table",1
"TABL315","YARRALUMLA","WESTON PARK","CONCRETE",149.093294368654,-35.2925464127159,"Table",1
"TABL316","YARRALUMLA","WESTON PARK","CONCRETE",149.093281840501,-35.2924653081165,"Table",1
"TABL317","YARRALUMLA","WESTON PARK","TIMBER",149.09553800273,-35.2900122979729,"Table",1
"TABL318","YARRALUMLA","WESTON PARK","TIMBER",149.095452063486,-35.289922233015,"Table",1
"TABL71","REID","GEERILONG GARDENS - NEIGHBOURHOOD PARK","TIMBER",149.14361966252,-35.2832090506853,"Table",1
"TABL75","MITCHELL","BAILLIEU LANE PEDESTRIAN PARKLAND","TIMBER",149.142165301173,-35.2179591026058,"Table",1
"TABL76","LYNEHAM","LAMBERT PLACE - NEIGHBOURHOOD PARK","TIMBER",149.121377241034,-35.2474605757912,"Table",1
"TABL77","LYNEHAM","ELLENBOROUGH STREET - PEDESTRIAN PARKLAND","TIMBER",149.123782163724,-35.2410323016946,"Table",1
"TABL78","LYNEHAM","ELLENBOROUGH STREET - PEDESTRIAN PARKLAND","TIMBER",149.123825867725,-35.2407078041468,"Table",1
"TABL79","LYNEHAM","ELLENBOROUGH STREET - PEDESTRIAN PARKLAND","TIMBER",149.12396415985,-35.240644585466,"Table",1
"TABL80","LYNEHAM","ELLENBOROUGH STREET - PEDESTRIAN PARKLAND","TIMBER",149.124160718376,-35.2406353864513,"Table",1
"TABL81","LYNEHAM","ELLENBOROUGH STREET - PEDESTRIAN PARKLAND","TIMBER",149.124144340678,-35.2408336802769,"Table",1
"TABL84","DOWNER","DOWNER SHOPPING CENTRE","TIMBER",149.144588815751,-35.2451206175288,"Table",1
"TABL320","YARRALUMLA","MUELLER STREET - NEIGHBOURHOOD PARK","TIMBER",149.100554716281,-35.3072857334288,"Table",1
"TABL321","YARRALUMLA","YARRALUMLA BAY DISTRICT PARK","TIMBER",149.10471821408,-35.2995947994635,"Table",1
"TABL325","PHILLIP","EDISON DISTRICT PARK","TIMBER",149.090096198358,-35.3416160840886,"Table",1
"TABL326","PHILLIP","PHILLIP TOWN CENTRE","TIMBER",149.083200100969,-35.3449970202749,"Table",1
"TABL327","PHILLIP","PHILLIP TOWN CENTRE","TIMBER",149.083107084567,-35.344618551363,"Table",1
"TABL330","PHILLIP","PHILLIP TOWN CENTRE","TIMBER",149.086782234666,-35.3449019064761,"Table",1
"TABL331","PHILLIP","PHILLIP TOWN CENTRE","TIMBER",149.086691894853,-35.3448314941664,"Table",1
