stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding
1324,,Fincham Cr after Wheeler Cr,-35.3963,149.079126,,,0,0
1325,,Fincham Cr before Stutt St,-35.398613,149.080301,,,0,0
1326,,Fincham Cr after 1st DeGraves Cr,-35.398902,149.080518,,,0,0
1327,,Forlonge St after Fincham Cr,-35.401054,149.081262,,,0,0
1328,,Forlonge St before Gair Pl,-35.401413,149.080926,,,0,0
1335,,Sternberg Cr opp Houston St,-35.402386,149.09281,,,0,0
1336,,Sternberg Cr opp Whiteman Cr,-35.4012,149.094982,,,0,0
1337,,Sternberg Cr before Houston St,-35.40235,149.092721,,,0,0
1338,,Sternberg Cr after Whiteman St,-35.401034,149.095201,,,0,0
1339,,Sternberg Cr after Langdon Av,-35.401439,149.098251,,,0,0
1340,,Sternberg Cr after Comrie St,-35.401696,149.098671,,,0,0
1341,,Drakeford Dr after Boddington Cr,-35.377343,149.056195,,,0,0
1342,,Drakeford Dr before Marconi Cr,-35.377347,149.056592,,,0,0
1343,,Marconi Cr opp Kambah Village,-35.378927,149.057634,,,0,0
1344,,Kambah Village Marconi Cr,-35.379136,149.057769,,,0,0
1345,,Marconi Cr before 2nd Harrington Cct,-35.377833,149.060636,,,0,0
1346,,Marconi Cr after Wyselaskie Cct,-35.378267,149.06011,,,0,0
1347,,Marconi Cr opp Taylor PS,-35.377614,149.064032,,,0,0
1348,,Taylor PS Marconi Cr,-35.377741,149.06406,,,0,0
1349,,Marconi Cr after 2nd Lascelles Cct,-35.378684,149.065348,,,0,0
1350,,Marconi Cr after Inkster St,-35.378728,149.065491,,,0,0
1351,,Marconi Cr after 1st Lascelles Cct,-35.381701,149.065314,,,0,0
1352,,Marconi Cr after Hutchison Cr,-35.381402,149.065583,,,0,0
1353,,Summerland Cct before Hutchison Cr,-35.383372,149.06747,,,0,0
1354,,Summerland Cct opp Hutchison Cr,-35.383463,149.067486,,,0,0
1355,,Summerland Cct before Mannheim St,-35.384914,149.070892,,,0,0
1356,,Summerland Cct before 1st Gallagher St,-35.38502,149.071134,,,0,0
1357,,Summerland Cct after 2nd Lee-Steere Cr,-35.387624,149.075039,,,0,0
1358,,Summerland Cct opp 1st Lee-Steere Cr,-35.387515,149.074926,,,0,0
1359,,Langdon Av after Dyer Pl,-35.392409,149.089645,,,0,0
1360,,Langdon Av after Macbain St,-35.392319,149.089323,,,0,0
1361,,Langdon Av before Carr Cr,-35.392568,149.093016,,,0,0
1362,,Langdon Av before Billson Pl,-35.392174,149.093685,,,0,0
1363,,Wanniassa Hills PS Langdon Av,-35.392151,149.095783,,,0,0
1364,,Langdon Av opp Wanniassa Hills PS,-35.392879,149.09656,,,0,0
1365,,Langdon Av after Gaunson Cr,-35.396342,149.096387,,,0,0
1366,,Langdon Av after Kirkton St,-35.396096,149.096231,,,0,0
1367,,Langdon Av before 2nd Brunton St,-35.397873,149.097417,,,0,0
1368,,Langdon Av before Longmore Cr,-35.397754,149.097416,,,0,0
1369,,Langdon Av before Embling St,-35.40037,149.097398,,,0,0
1370,,Langdon Av before Bussau Cl,-35.400017,149.097735,,,0,0
1371,,Drakeford Dr after Mortimer Lewis Dr,-35.402577,149.074423,,,0,0
1372,,Drakeford Dr before Taverner St,-35.401228,149.074572,,,0,0
1373,,Drakeford Dr after Taverner St,-35.408028,149.073539,,,0,0
1374,,Drakeford Dr after Soward Way,-35.408348,149.073076,,,0,0
1375,,Athllon Dr before Reed St,-35.418158,149.064405,,,0,0
1376,,Hindmarsh Dr after Ball St,-35.348742,149.08783,,,0,0
1400,,Newman-Morris Cct opp 2nd Connibere Cr,-35.407481,149.0757,,,0,0
1401,,Newman-Morris Cct before 1st Connibere Cr,-35.407218,149.07569,,,0,0
1402,,Newman-Morris Cct before 1st Singleton Cr,-35.410852,149.075058,,,0,0
1403,,77 Newman-Morris Cct,-35.410988,149.075168,,,0,0
1404,,Newman-Morris Cct after 1st Collocott Cr,-35.413455,149.076071,,,0,0
