"stopID","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","wheelchair_boarding","index","dist","ID","DIVISION_CODE","DIVISION_NAME","LAST_UPDATE_DATE","OBJECTID"
1162,NA,"Bugden Av after Partridge St",-35.401436,149.114272,NA,"",0,0,75,0,77,605,"FADDEN","1999/02/19 09:47:44+00",75
1163,NA,"Bugden Av opp 2nd Maughan Cr",-35.40132,149.112769,NA,"",0,0,75,0,77,605,"FADDEN","1999/02/19 09:47:44+00",75
1164,NA,"Bugden Av before 2nd Maughan Cr",-35.401832,149.110301,NA,"",0,0,75,0,77,605,"FADDEN","1999/02/19 09:47:44+00",75
1165,NA,"Bugden Av after 1st Appel Cr",-35.401708,149.110045,NA,"",0,0,75,0,77,605,"FADDEN","1999/02/19 09:47:44+00",75
1166,NA,"Bugden Av after Sternberg Cr",-35.40265,149.107483,NA,"",0,0,75,0,77,605,"FADDEN","1999/02/19 09:47:44+00",75
1167,NA,"Bugden Av before Sternberg Cr",-35.402691,149.107556,NA,"",0,0,75,0,77,605,"FADDEN","1999/02/19 09:47:44+00",75
1168,NA,"Bugden Av before 2nd Appel Cr",-35.39954,149.115823,NA,"",0,0,75,0,77,605,"FADDEN","1999/02/19 09:47:44+00",75
1170,NA,"Sternberg Cr after Erindale Dr",-35.402261,149.103288,NA,"",0,0,86,0,89,602,"WANNIASSA","1999/02/19 09:47:44+00",86
1171,NA,"Sternberg Cr after Ashley Dr",-35.401941,149.100575,NA,"",0,0,86,0,89,602,"WANNIASSA","1999/02/19 09:47:44+00",86
1172,NA,"Erindale Interchange Plt 1",-35.403649,149.099162,NA,"",0,0,86,0,89,602,"WANNIASSA","1999/02/19 09:47:44+00",86
1173,NA,"Erindale Interchange Plt 2",-35.404053,149.099282,NA,"",0,0,86,0,89,602,"WANNIASSA","1999/02/19 09:47:44+00",86
1174,NA,"Sternberg Cr before Maltby Cct",-35.401992,149.102749,NA,"",0,0,86,0,89,602,"WANNIASSA","1999/02/19 09:47:44+00",86
1176,NA,"Erindale College McBryde Cr",-35.403907,149.095995,NA,"",0,0,86,0,89,602,"WANNIASSA","1999/02/19 09:47:44+00",86
1177,NA,"McBryde Cr opp Erindale College",-35.404224,149.096148,NA,"",0,0,86,0,89,602,"WANNIASSA","1999/02/19 09:47:44+00",86
1178,NA,"Amsinck St after McBryde Cr",-35.405554,149.093547,NA,"",0,0,86,0,89,602,"WANNIASSA","1999/02/19 09:47:44+00",86
1179,NA,"Amsinck St before McBryde Cr",-35.405601,149.093296,NA,"",0,0,86,0,89,602,"WANNIASSA","1999/02/19 09:47:44+00",86
1180,NA,"MacKillop College McBryde Cr",-35.406139,149.090581,NA,"",0,0,86,0,89,602,"WANNIASSA","1999/02/19 09:47:44+00",86
1181,NA,"McBryde Cr opp MacKillop College",-35.406264,149.090564,NA,"",0,0,86,0,89,602,"WANNIASSA","1999/02/19 09:47:44+00",86
1182,NA,"Woodcock Dr before Clare Dennis Av",-35.441863,149.086183,NA,"",0,0,14,0,79,616,"GORDON","1999/02/19 09:47:44+00",14
1183,NA,"Woodcock Dr opp Clare Dennis Av",-35.441692,149.086154,NA,"",0,0,14,0,79,616,"GORDON","1999/02/19 09:47:44+00",14
1184,NA,"Clare Dennis Av before Armbruster St",-35.443044,149.085974,NA,"",0,0,14,0,79,616,"GORDON","1999/02/19 09:47:44+00",14
1185,NA,"Clare Dennis Av before 1st Fred Ln Cr",-35.445159,149.0878,NA,"",0,0,14,0,79,616,"GORDON","1999/02/19 09:47:44+00",14
1186,NA,"Clare Dennis Av before 2nd Fred Ln Cr",-35.446768,149.086077,NA,"",0,0,14,0,79,616,"GORDON","1999/02/19 09:47:44+00",14
1187,NA,"Clare Dennis Av before Preddey Way",-35.447089,149.08384,NA,"",0,0,14,0,79,616,"GORDON","1999/02/19 09:47:44+00",14
1188,NA,"Lewis Luxton Av after Preddy Way",-35.448402,149.086122,NA,"",0,0,14,0,79,616,"GORDON","1999/02/19 09:47:44+00",14
1189,NA,"Lewis Luxton Av opp Blinkhorn Pl",-35.450436,149.08909,NA,"",0,0,14,0,79,616,"GORDON","1999/02/19 09:47:44+00",14
1190,NA,"Lewis Luxton Av opp 2nd Cerutty Cr",-35.452903,149.08797,NA,"",0,0,14,0,79,616,"GORDON","1999/02/19 09:47:44+00",14
1191,NA,"Knoke Av opp Gordon PS",-35.458121,149.086118,NA,"",0,0,14,0,79,616,"GORDON","1999/02/19 09:47:44+00",14
1192,NA,"Knoke Av before Oxenham Cct",-35.460578,149.085659,NA,"",0,0,14,0,79,616,"GORDON","1999/02/19 09:47:44+00",14
1193,NA,"Knoke Av after Jim Pike Av",-35.462281,149.083208,NA,"",0,0,14,0,79,616,"GORDON","1999/02/19 09:47:44+00",14
1194,NA,"Jim Pike Av before Clem Hill St",-35.462016,149.079911,NA,"",0,0,14,0,79,616,"GORDON","1999/02/19 09:47:44+00",14
1195,NA,"Callaway Cr at 1st Myles Connell Cr",-35.459068,149.080047,NA,"",0,0,14,0,79,616,"GORDON","1999/02/19 09:47:44+00",14
1196,NA,"39 Callaway Cr",-35.460036,149.081737,NA,"",0,0,14,0,79,616,"GORDON","1999/02/19 09:47:44+00",14
1197,NA,"Bugden Av after 2nd Chataway Cr",-35.398638,149.117563,NA,"",0,0,75,0,77,605,"FADDEN","1999/02/19 09:47:44+00",75
1198,NA,"Bugden Av opp 1st Chataway Cr",-35.398045,149.118252,NA,"",0,0,75,0,77,605,"FADDEN","1999/02/19 09:47:44+00",75
1199,NA,"Knoke Av after Clem Hill St",-35.464786,149.084188,NA,"",0,0,14,0,79,616,"GORDON","1999/02/19 09:47:44+00",14
1200,NA,"Knoke Av after 2nd Harry Hopman Cct",-35.467259,149.087641,NA,"",0,0,14,0,79,616,"GORDON","1999/02/19 09:47:44+00",14
1201,NA,"Knoke Av after 1st Harry Hopman Cct",-35.472807,149.089281,NA,"",0,0,14,0,79,616,"GORDON","1999/02/19 09:47:44+00",14
1202,NA,"Pockett Av after Bellchambers Cr",-35.474078,149.093168,NA,"",0,0,13,0,124,614,"BANKS","2002/03/14 12:04:12+00",13
1203,NA,"Pockett Av after Wilson Cr",-35.471702,149.096924,NA,"",0,0,13,0,124,614,"BANKS","2002/03/14 12:04:12+00",13
1204,NA,"Pockett Av after 2nd Ironbark Cr",-35.469475,149.097634,NA,"",0,0,13,0,124,614,"BANKS","2002/03/14 12:04:12+00",13
1205,NA,"Pockett Av after Perrin Cct",-35.467558,149.095362,NA,"",0,0,13,0,124,614,"BANKS","2002/03/14 12:04:12+00",13
1206,NA,"Pockett Av before Thomas Hart St",-35.46528,149.094099,NA,"",0,0,13,0,124,614,"BANKS","2002/03/14 12:04:12+00",13
1207,NA,"Tom Roberts Av before Box Hill Av",-35.463823,149.096494,NA,"",0,0,13,0,124,614,"BANKS","2002/03/14 12:04:12+00",13
1208,NA,"Tom Roberts Av opp Charles Conder PS",-35.465324,149.098411,NA,"",0,0,13,0,124,614,"BANKS","2002/03/14 12:04:12+00",13
1210,NA,"Tom Roberts Av before Jane Sutherland St",-35.466303,149.105607,NA,"",0,0,74,0,123,613,"CONDER","2002/03/14 12:03:58+00",74
1211,NA,"Tom Roberts Av before 1st Templestowe Av",-35.462228,149.105193,NA,"",0,0,74,0,123,613,"CONDER","2002/03/14 12:03:58+00",74
1212,NA,"Tom Roberts Av opp John Russell Cct",-35.461222,149.102208,NA,"",0,0,74,0,123,613,"CONDER","2002/03/14 12:03:58+00",74
1213,NA,"Tom Roberts Av after Box Hill Av",-35.460419,149.099253,NA,"",0,0,74,0,123,613,"CONDER","2002/03/14 12:03:58+00",74
1214,NA,"Tom Roberts Av after 1st Beaumaris St",-35.466403,149.10042,NA,"",0,0,74,0,123,613,"CONDER","2002/03/14 12:03:58+00",74
1215,NA,"Box Hill Av opp Lanyon Marketplace",-35.456171,149.092495,NA,"",0,0,74,0,123,613,"CONDER","2002/03/14 12:03:58+00",74
1216,NA,"Box Hill Av opp St Clare of Assisi PS",-35.457716,149.097362,NA,"",0,0,74,0,123,613,"CONDER","2002/03/14 12:03:58+00",74
