"CREATED_DATE","SPECIES","LATITUDE","LONGITUDE","index","dist","ID","DIVISION_CODE","DIVISION_NAME","LAST_UPDATE_DATE","OBJECTID","date","hour","moment","month","day","year","month_word","day_word","week","time_hour","pod","speciesGroup"
"10/12/2020 03:59:00 AM","EASTERN GREY KANGAROO",-35.33588134,149.1719635,67,0,326,803,"SYMONSTON","2010/10/20 12:10:54+00",67,"10/12/2020","03:59:00","AM",10,12,2020,"October","Monday",42,3,"Before-Dawn","Mammal"
"12/21/2020 07:52:00 AM","BRUSHTAIL POSSUM",-35.34888358,149.0838544,95,0,98,337,"CHIFLEY","1999/02/19 09:46:25+00",95,"12/21/2020","07:52:00","AM",12,21,2020,"December","Monday",52,7,"Morning","Mammal"
"04/12/2020 04:46:00 PM","EASTERN GREY KANGAROO",-35.30363703,149.0639996,60,1169.9151339239,58,212,"YARRALUMLA","1999/02/19 09:46:25+00",60,"04/12/2020","04:46:00","PM",4,12,2020,"April","Sunday",15,16,"Afternoon","Mammal"
"07/26/2018 03:01:00 PM","EASTERN GREY KANGAROO",-35.3453144,149.1386477,67,0,326,803,"SYMONSTON","2010/10/20 12:10:54+00",67,"07/26/2018","03:01:00","PM",7,26,2018,"July","Thursday",30,15,"Afternoon","Mammal"
"05/31/2017 09:29:00 AM","EASTERN GREY KANGAROO",-35.36912044,149.0923792,106,0,696,332,"TORRENS","2018/10/24 10:28:48+00",106,"05/31/2017","09:29:00","AM",5,31,2017,"May","Wednesday",22,9,"Morning","Mammal"
"06/05/2018 10:17:00 AM","EASTERN GREY KANGAROO",-35.45264875,149.0762008,14,446.300921892305,79,616,"GORDON","1999/02/19 09:47:44+00",14,"06/05/2018","10:17:00","AM",6,5,2018,"June","Tuesday",23,10,"Morning","Mammal"
"10/18/2019 10:42:00 AM","EASTERN GREY KANGAROO",-35.25553718,149.1192412,54,0,52,103,"O'CONNOR","1999/02/19 09:45:39+00",54,"10/18/2019","10:42:00","AM",10,18,2019,"October","Friday",42,10,"Morning","Mammal"
"05/09/2017 11:40:00 PM","EASTERN GREY KANGAROO",-35.3886775,149.0590768,80,0,83,601,"KAMBAH","1999/02/19 09:47:44+00",80,"05/09/2017","11:40:00","PM",5,9,2017,"May","Tuesday",19,23,"Night","Mammal"
"03/02/2017 12:46:00 PM","EASTERN GREY KANGAROO",-35.3996093,149.0707962,78,0,81,615,"GREENWAY","1999/02/19 09:47:44+00",78,"03/02/2017","12:46:00","PM",3,2,2017,"March","Thursday",10,24,"Mid-Night","Mammal"
"07/13/2016 08:18:00 AM","EASTERN GREY KANGAROO",-35.31958821,149.0981882,44,0,42,215,"DEAKIN","1999/02/19 09:46:25+00",44,"07/13/2016","08:18:00","AM",7,13,2016,"July","Wednesday",29,8,"Morning","Mammal"
"09/07/2017 07:09:00 AM","EASTERN GREY KANGAROO",-35.46587445,149.092548,13,0,124,614,"BANKS","2002/03/14 12:04:12+00",13,"09/07/2017","07:09:00","AM",9,7,2017,"September","Thursday",37,7,"Morning","Mammal"
"05/04/2019 08:36:00 AM","EASTERN GREY KANGAROO",-35.37971422,149.1142444,97,0,702,334,"FARRER","2018/10/24 10:28:48+00",97,"05/04/2019","08:36:00","AM",5,4,2019,"May","Saturday",19,8,"Morning","Mammal"
"06/12/2016 10:37:00 AM","EASTERN GREY KANGAROO",-35.34643171,149.1198728,98,0,101,330,"GARRAN","1999/02/19 09:46:25+00",98,"06/12/2016","10:37:00","AM",6,12,2016,"June","Sunday",24,10,"Morning","Mammal"
"01/24/2020 03:36:00 PM","EASTERN GREY KANGAROO",-35.3253294,149.2228311,68,1410.12047751626,661,251,"PIALLIGO","2012/11/02 13:55:05+00",68,"01/24/2020","03:36:00","PM",1,24,2020,"January","Friday",4,15,"Afternoon","Mammal"
"12/05/2018 06:03:00 AM","EASTERN GREY KANGAROO",-35.42032718,149.0309859,78,2795.22084724082,81,615,"GREENWAY","1999/02/19 09:47:44+00",78,"12/05/2018","06:03:00","AM",12,5,2018,"December","Wednesday",49,6,"Dawn","Mammal"
"08/13/2019 10:08:00 AM","EASTERN GREY KANGAROO",-35.38513526,149.0950228,86,0,89,602,"WANNIASSA","1999/02/19 09:47:44+00",86,"08/13/2019","10:08:00","AM",8,13,2019,"August","Tuesday",33,10,"Morning","Mammal"
"07/10/2016 05:06:00 PM","EASTERN GREY KANGAROO",-35.39370755,149.1042884,86,32.0679470976608,89,602,"WANNIASSA","1999/02/19 09:47:44+00",86,"07/10/2016","05:06:00","PM",7,10,2016,"July","Sunday",28,17,"Afternoon","Mammal"
